FID,OBJECTID,SHAPE,LINFO,HSTNR,HTXT,HBEM,EROEFFNUNG_JAHR,EROEFFNUNG_MONAT,SE_ANNO_CAD_DATA
UBAHNHALTOGD.363469,363469,POINT (16.36541231951313 48.2093448588258),3.0,,Herrengasse,,1991.0,4.0,
UBAHNHALTOGD.363470,363470,POINT (16.305030971115084 48.18754674025782),4.0,,Hietzing,,1981.0,8.0,
UBAHNHALTOGD.363471,363471,POINT (16.320079934769193 48.19764232813504),3.0,,JohnstraÃŸe,,1994.0,9.0,
UBAHNHALTOGD.363472,363472,POINT (16.339161293032234 48.211550310880774),6.0,,JosefstÃ¤dter StraÃŸe,,1989.0,10.0,
UBAHNHALTOGD.363473,363473,POINT (16.416496718597706 48.232861934404795),1.0,,KaisermÃ¼hlen-VIC,,1982.0,9.0,
UBAHNHALTOGD.363474,363474,POINT (16.399882868998844 48.19755871042182),3.0,,Kardinal-Nagl-Platz,,1991.0,4.0,
UBAHNHALTOGD.363475,363475,POINT (16.36867934558128 48.200461996844126),4.0,,Karlsplatz,,1978.0,8.0,
UBAHNHALTOGD.363476,363476,POINT (16.376183520625883 48.17919217921554),1.0,,Keplerplatz,,1978.0,2.0,
UBAHNHALTOGD.363477,363477,POINT (16.35797640508108 48.19661502656066),4.0,,KettenbrÃ¼ckengasse,,1980.0,10.0,
UBAHNHALTOGD.363478,363478,POINT (16.35227499531417 48.199172593565066),3.0,,Neubaugasse,,1993.0,9.0,
UBAHNHALTOGD.363479,363479,POINT (16.383915705123528 48.206301106198175),3.0,,LandstraÃŸe / Wien Mitte (Ã–BB),,1991.0,4.0,
UBAHNHALTOGD.363480,363480,POINT (16.344276880556464 48.22128120962505),6.0,,Michelbeuern-AKH,,1989.0,10.0,
UBAHNHALTOGD.363481,363481,POINT (16.331180018260543 48.180776337498706),6.0,,NiederhofstraÃŸe,,1995.0,4.0,
UBAHNHALTOGD.363482,363482,POINT (16.352435610046605 48.23132354901069),6.0,,NuÃŸdorfer StraÃŸe,,1989.0,10.0,
UBAHNHALTOGD.363483,363483,POINT (16.27620579598826 48.19223962928463),4.0,,Ober Sankt Veit,,1981.0,12.0,
UBAHNHALTOGD.363484,363484,POINT (16.313447272314637 48.13688616657522),6.0,,PerfektastraÃŸe,,1995.0,4.0,
UBAHNHALTOGD.363485,363485,POINT (16.331496015234872 48.17420185879979),6.0,,PhiladelphiabrÃ¼cke bzw. Meidling (Ã–BB),,1995.0,4.0,
UBAHNHALTOGD.363486,363486,POINT (16.35424098481874 48.192031391337984),4.0,,Pilgramgasse,,1980.0,10.0,
UBAHNHALTOGD.363487,363487,POINT (16.31139383583383 48.19979667965817),3.0,,HÃ¼tteldorfer StraÃŸe,,1998.0,12.0,
UBAHNHALTOGD.363488,363488,POINT (16.39138171505573 48.21887138992034),1.0,,Praterstern bzw. Wien Nord (Ã–BB),,1982.0,9.0,
UBAHNHALTOGD.363489,363489,POINT (16.35843331714901 48.23563136628197),4.0,,Spittelau,,1976.0,5.0,
UBAHNHALTOGD.363490,363490,POINT (16.392253706228583 48.20208534987997),3.0,,Rochusgasse,,1991.0,4.0,
UBAHNHALTOGD.363491,363491,POINT (16.367568553782057 48.22225645972458),4.0,,RoÃŸauer LÃ¤nde,,1978.0,4.0,
UBAHNHALTOGD.363492,363492,POINT (16.37124487580169 48.217146181424624),4.0,,Schottenring,,1978.0,4.0,
UBAHNHALTOGD.363493,363493,POINT (16.378366059384557 48.21180580312776),1.0,,Schwedenplatz,,1979.0,11.0,
UBAHNHALTOGD.363494,363494,POINT (16.406748617002524 48.194414105976065),3.0,,Schlachthausgasse,,1991.0,4.0,
UBAHNHALTOGD.363495,363495,POINT (16.32851857602606 48.197800901190824),3.0,,SchweglerstraÃŸe,,1994.0,9.0,
UBAHNHALTOGD.363496,363496,POINT (16.379578354112613 48.20280866749231),4.0,,Stadtpark,,1978.0,8.0,
UBAHNHALTOGD.363497,363497,POINT (16.309147315344163 48.20454027022625),3.0,,KendlerstraÃŸe,,1998.0,12.0,
UBAHNHALTOGD.363498,363498,POINT (16.371530498569125 48.208046922660486),1.0,,Stephansplatz,,1979.0,11.0,
UBAHNHALTOGD.363499,363499,POINT (16.37034094065456 48.19391616525129),1.0,,Taubstummengasse,,1973.0,8.0,
UBAHNHALTOGD.363500,363500,POINT (16.33801541007708 48.2078010575292),6.0,,ThaliastraÃŸe,,1989.0,10.0,
UBAHNHALTOGD.363501,363501,POINT (16.327668661472266 48.164859778558295),6.0,,Tscherttegasse,,1995.0,4.0,
UBAHNHALTOGD.363502,363502,POINT (16.28594827339097 48.19112795160402),4.0,,Unter Sankt Veit,,1981.0,12.0,
UBAHNHALTOGD.363503,363503,POINT (16.358260023090885 48.20491574672313),3.0,,Volkstheater,,1991.0,4.0,
UBAHNHALTOGD.363504,363504,POINT (16.401076446122666 48.22362935577191),1.0,,VorgartenstraÃŸe,,1982.0,9.0,
UBAHNHALTOGD.363505,363505,POINT (16.33960156193445 48.19583834386824),3.0,,Westbahnhof,,1993.0,9.0,
UBAHNHALTOGD.363506,363506,POINT (16.316875813526586 48.15072751364064),6.0,,Alterlaa,,1995.0,4.0,
UBAHNHALTOGD.363507,363507,POINT (16.34949995659498 48.22558692759974),6.0,,WÃ¤hringer StraÃŸe-Volksoper,,1989.0,10.0,
UBAHNHALTOGD.363508,363508,POINT (16.355323673535885 48.21027621158192),2.0,,Rathaus,,1980.0,8.0,
UBAHNHALTOGD.363509,363509,POINT (16.36134464964756 48.20257260982384),2.0,,Museumsquartier,,1980.0,8.0,
UBAHNHALTOGD.363510,363510,POINT (16.478561594214817 48.22849267030843),,,Lina-Loos-Platz,U2 Nord,,,
UBAHNHALTOGD.363412,363412,POINT (16.34598010394469 48.19708045955753),3.0,,Zieglergasse,,1993.0,9.0,
UBAHNHALTOGD.363413,363413,POINT (16.361836064957437 48.21452665970639),2.0,,Schottentor,,1980.0,8.0,
UBAHNHALTOGD.363414,363414,POINT (16.394834328317106 48.24640585137024),6.0,,Neue Donau,,1996.0,5.0,
UBAHNHALTOGD.363415,363415,POINT (16.385702780441864 48.24186062431748),6.0,,Handelskai,,1996.0,5.0,
UBAHNHALTOGD.363416,363416,POINT (16.417467008017656 48.18514310391948),3.0,,Gasometer,,2000.0,12.0,
UBAHNHALTOGD.363417,363417,POINT (16.414796559242173 48.17471882461465),3.0,,Enkplatz,,2000.0,12.0,
UBAHNHALTOGD.363418,363418,POINT (16.38129173772244 48.219130401587414),2.0,,TaborstraÃŸe,,2008.0,5.0,
UBAHNHALTOGD.363419,363419,POINT (16.260835394690446 48.19695710325841),4.0,,HÃ¼tteldorf,,1981.0,12.0,
UBAHNHALTOGD.363420,363420,POINT (16.342954284179257 48.188484049408885),4.0,,MargaretengÃ¼rtel,,1980.0,10.0,
