FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14464636,14464636,POINT (16.281416612093846 48.197542469904384),WaidhausenstraÃŸe,WaidhausenstraÃŸe,"47A,49,N49",,10,https://anachb.vor.at?P=SQ&input=Wien%20WaidhausenstraÃŸe&start=1,
OEFFHALTESTOGD.14464637,14464637,POINT (16.281416612093846 48.197542469904384),WaidhausenstraÃŸe,WaidhausenstraÃŸe,"47A,49,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20WaidhausenstraÃŸe&start=1,
OEFFHALTESTOGD.14464638,14464638,POINT (16.280024212426724 48.19763827013478),WaidhausenstraÃŸe,WaidhausenstraÃŸe,"49,N49",,10,https://anachb.vor.at?P=SQ&input=Wien%20WaidhausenstraÃŸe&start=1,
OEFFHALTESTOGD.14464639,14464639,POINT (16.280024212426724 48.19763827013478),WaidhausenstraÃŸe,WaidhausenstraÃŸe,"49,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20WaidhausenstraÃŸe&start=1,
OEFFHALTESTOGD.14464640,14464640,POINT (16.338288911864982 48.19747066938975),Westbahnhof (Europaplatz),Westbahnhof (Europaplatz),"N49,N6,N8",,11,https://anachb.vor.at?P=SQ&input=Wien%20Westbahnhof&start=1,
OEFFHALTESTOGD.14464641,14464641,POINT (16.33971721289578 48.19680596962912),Westbahnhof (NeubaugÃ¼rtel),Westbahnhof (NeubaugÃ¼rtel),"N49,N6,N8",,11,https://anachb.vor.at?P=SQ&input=Wien%20Westbahnhof&start=1,
OEFFHALTESTOGD.14464642,14464642,POINT (16.2358899127822 48.20466156973861),Wolf in der Au,Wolf in der Au,"450,451,50A,N49",,10,https://anachb.vor.at?P=SQ&input=Wien%20Wolf%20in%20der%20Au&start=1,
OEFFHALTESTOGD.14464643,14464643,POINT (16.2358899127822 48.20466156973861),Wolf in der Au,Wolf in der Au,"450,451,50A,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Wolf%20in%20der%20Au&start=1,
OEFFHALTESTOGD.14464644,14464644,POINT (16.237093712834486 48.20484716936237),Wolf in der Au,Wolf in der Au,"450,451,453,50A,N49",,10,https://anachb.vor.at?P=SQ&input=Wien%20Wolf%20in%20der%20Au&start=1,
OEFFHALTESTOGD.14464645,14464645,POINT (16.237093712834486 48.20484716936237),Wolf in der Au,Wolf in der Au,"450,451,453,50A,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Wolf%20in%20der%20Au&start=1,
OEFFHALTESTOGD.14464646,14464646,POINT (16.222316412419346 48.207391569674726),Albert-Schweitzer-Gasse,Albert-Schweitzer-Gasse,"50B,N49",,10,https://anachb.vor.at?P=SQ&input=Wien%20Albert-Schweitzer-Gasse&start=1,
OEFFHALTESTOGD.14464647,14464647,POINT (16.222316412419346 48.207391569674726),Albert-Schweitzer-Gasse,Albert-Schweitzer-Gasse,"50B,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Albert-Schweitzer-Gasse&start=1,
OEFFHALTESTOGD.14464648,14464648,POINT (16.35484481257363 48.202488169447754),Stiftgasse,Stiftgasse,"49,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Stiftgasse&start=1,
OEFFHALTESTOGD.14464649,14464649,POINT (16.35484481257363 48.202488169447754),Stiftgasse,Stiftgasse,"49,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Stiftgasse&start=1,
OEFFHALTESTOGD.14464650,14464650,POINT (16.354198112557214 48.202320569853846),Stiftgasse,Stiftgasse,"49,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Stiftgasse&start=1,
OEFFHALTESTOGD.14464651,14464651,POINT (16.354198112557214 48.202320569853846),Stiftgasse,Stiftgasse,"49,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Stiftgasse&start=1,
OEFFHALTESTOGD.14464652,14464652,POINT (16.307413812710305 48.19902746955587),Breitensee (HÃ¼tteldorfer StraÃŸe),Breitensee (HÃ¼tteldorfer StraÃŸe),"49,N49",,10,https://anachb.vor.at?P=SQ&input=Wien%20Breitensee&start=1,
OEFFHALTESTOGD.14464653,14464653,POINT (16.307413812710305 48.19902746955587),Breitensee (HÃ¼tteldorfer StraÃŸe),Breitensee (HÃ¼tteldorfer StraÃŸe),"49,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Breitensee&start=1,
OEFFHALTESTOGD.14464654,14464654,POINT (16.3065155121819 48.1988418694978),Breitensee (HÃ¼tteldorfer StraÃŸe),Breitensee (HÃ¼tteldorfer StraÃŸe),"49,N49",,10,https://anachb.vor.at?P=SQ&input=Wien%20Breitensee&start=1,
OEFFHALTESTOGD.14464655,14464655,POINT (16.3065155121819 48.1988418694978),Breitensee (HÃ¼tteldorfer StraÃŸe),Breitensee (HÃ¼tteldorfer StraÃŸe),"49,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Breitensee&start=1,
OEFFHALTESTOGD.14464656,14464656,POINT (16.25594931224281 48.20265586959004),"HÃ¼tteldorf, Bujattigasse","HÃ¼tteldorf, Bujattigasse","49,N49",,10,"https://anachb.vor.at?P=SQ&input=Wien%20HÃ¼tteldorf,%20Bujattigasse&start=1",
OEFFHALTESTOGD.14464657,14464657,POINT (16.25594931224281 48.20265586959004),"HÃ¼tteldorf, Bujattigasse","HÃ¼tteldorf, Bujattigasse","49,N49",,11,"https://anachb.vor.at?P=SQ&input=Wien%20HÃ¼tteldorf,%20Bujattigasse&start=1",
