FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14462373,14462373,POINT (16.38833861131482 48.380616151128834),Seebarn bei Harmannsdorf SchloÃŸstraÃŸe,Seebarn bei Harmannsdorf SchloÃŸstraÃŸe,857,,3,https://anachb.vor.at?P=SQ&input=Seebarn/Harmannsdorf%20SchloÃŸstraÃŸe&start=1,
OEFFHALTESTOGD.14462374,14462374,POINT (16.500259672220313 48.330957212288475),Seyring Bahnhof,Seyring Bahnhof,"513,SV902",,3,https://anachb.vor.at?P=SQ&input=Seyring%20Bahnhof&start=1,
OEFFHALTESTOGD.14462375,14462375,POINT (16.49430387188692 48.330736214479266),Seyring Raimund-Lux-Gasse,Seyring Raimund-Lux-Gasse,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Raimund-Lux-Gasse&start=1,
OEFFHALTESTOGD.14462376,14462376,POINT (16.494294872478232 48.330813914050765),Seyring Raimund-Lux-Gasse,Seyring Raimund-Lux-Gasse,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Raimund-Lux-Gasse&start=1,
OEFFHALTESTOGD.14462377,14462377,POINT (16.481862174003016 48.33320271857834),Seyring HauptstraÃŸe,Seyring HauptstraÃŸe,"502,513",,3,https://anachb.vor.at?P=SQ&input=Seyring%20HauptstraÃŸe&start=1,
OEFFHALTESTOGD.14462378,14462378,POINT (16.486048374161612 48.333095217412726),Seyring Rechte DorfstraÃŸe,Seyring Rechte DorfstraÃŸe,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Rechte%20DorfstraÃŸe&start=1,
OEFFHALTESTOGD.14462379,14462379,POINT (16.486093274643125 48.333155017368185),Seyring Rechte DorfstraÃŸe,Seyring Rechte DorfstraÃŸe,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Rechte%20DorfstraÃŸe&start=1,
OEFFHALTESTOGD.14462380,14462380,POINT (16.479787072105584 48.3309333195111),Seyring Wiener StraÃŸe,Seyring Wiener StraÃŸe,"502,513",,3,https://anachb.vor.at?P=SQ&input=Seyring%20Wiener%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462381,14462381,POINT (16.479598472996738 48.33100501891651),Seyring Wiener StraÃŸe,Seyring Wiener StraÃŸe,"502,513",,3,https://anachb.vor.at?P=SQ&input=Seyring%20Wiener%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462382,14462382,POINT (16.190646127411657 48.01843322003758),Helenental Abzw. Siegenfeld,Helenental Abzw. Siegenfeld,308,,3,https://anachb.vor.at?P=SQ&input=Helenental%20Abzw.%20Siegenfeld&start=1,
OEFFHALTESTOGD.14462383,14462383,POINT (16.190583226073016 48.0179345206065),Helenental Abzw. Siegenfeld,Helenental Abzw. Siegenfeld,"306,308",,3,https://anachb.vor.at?P=SQ&input=Helenental%20Abzw.%20Siegenfeld&start=1,
OEFFHALTESTOGD.14462384,14462384,POINT (16.179021936995742 48.031302424247954),Siegenfeld Rosental,Siegenfeld Rosental,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Rosental&start=1,
OEFFHALTESTOGD.14462385,14462385,POINT (16.17898593719731 48.03117622495431),Siegenfeld Rosental,Siegenfeld Rosental,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Rosental&start=1,
OEFFHALTESTOGD.14462386,14462386,POINT (16.1757430421537 48.03789792583026),Siegenfeld Kirchenplatz,Siegenfeld Kirchenplatz,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Kirchenplatz&start=1,
OEFFHALTESTOGD.14462387,14462387,POINT (16.175464542184734 48.037970026030095),Siegenfeld Kirchenplatz,Siegenfeld Kirchenplatz,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Kirchenplatz&start=1,
OEFFHALTESTOGD.14462388,14462388,POINT (16.173910441997293 48.03710512606385),Siegenfeld Badner StraÃŸe,Siegenfeld Badner StraÃŸe,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Badner%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462389,14462389,POINT (16.173676941045454 48.037093026332926),Siegenfeld Badner StraÃŸe,Siegenfeld Badner StraÃŸe,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Badner%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462390,14462390,POINT (16.157525273684616 48.07835973215525),Sittendorf Dornbacher StraÃŸe,Sittendorf Dornbacher StraÃŸe,"251,252,264",,3,https://anachb.vor.at?P=SQ&input=Sittendorf/MÃ¶dling%20Dornbacher%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462391,14462391,POINT (16.157606073951918 48.07823973248499),Sittendorf Dornbacher StraÃŸe,Sittendorf Dornbacher StraÃŸe,"252,264",,3,https://anachb.vor.at?P=SQ&input=Sittendorf/MÃ¶dling%20Dornbacher%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462392,14462392,POINT (16.49780727318884 48.33071831254685),Seyring Fuchsgasse,Seyring Fuchsgasse,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Fuchsgasse&start=1,
OEFFHALTESTOGD.14462393,14462393,POINT (16.496226272272143 48.330801913565686),Seyring Fuchsgasse,Seyring Fuchsgasse,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Fuchsgasse&start=1,
OEFFHALTESTOGD.14462394,14462394,POINT (16.482473075609956 48.33402091804707),Seyring Enzersfelder Weg,Seyring Enzersfelder Weg,"502,513",,3,https://anachb.vor.at?P=SQ&input=Seyring%20Enzersfelder%20Weg&start=1,
OEFFHALTESTOGD.14462395,14462395,POINT (16.162645669871292 48.07384023009928),Sittendorf Volksschule,Sittendorf Volksschule,"251,252,255,264",,3,https://anachb.vor.at?P=SQ&input=Sittendorf/MÃ¶dling%20Volksschule&start=1,
OEFFHALTESTOGD.14462396,14462396,POINT (16.308918541315908 48.29095147942712),Weidling Kirche (Lenaugasse),Weidling Kirche (Lenaugasse),401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Kirche&start=1,
OEFFHALTESTOGD.14462397,14462397,POINT (16.274189638933443 48.28892529168004),Weidling Rotgraben,Weidling Rotgraben,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Rotgraben&start=1,
OEFFHALTESTOGD.14462398,14462398,POINT (16.274063839471395 48.28888339158413),Weidling Rotgraben,Weidling Rotgraben,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Rotgraben&start=1,
OEFFHALTESTOGD.14462399,14462399,POINT (16.311900941010084 48.29093957850709),Weidling Kirchmayergasse,Weidling Kirchmayergasse,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Kirchmayergasse&start=1,
OEFFHALTESTOGD.14462400,14462400,POINT (16.31201764018391 48.29081997784285),Weidling Kirchmayergasse,Weidling Kirchmayergasse,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Kirchmayergasse&start=1,
OEFFHALTESTOGD.14462401,14462401,POINT (16.286038434271653 48.2818657870127),Weidling Schwedenheim,Weidling Schwedenheim,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Schwedenheim&start=1,
OEFFHALTESTOGD.14462402,14462402,POINT (16.28618213403242 48.28172828738044),Weidling Schwedenheim,Weidling Schwedenheim,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Schwedenheim&start=1,
OEFFHALTESTOGD.14462403,14462403,POINT (16.305774339202447 48.28857258086861),Weidling Servitenhof,Weidling Servitenhof,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Servitenhof&start=1,
OEFFHALTESTOGD.14462404,14462404,POINT (16.305909139316558 48.288482980399806),Weidling Servitenhof,Weidling Servitenhof,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Servitenhof&start=1,
OEFFHALTESTOGD.14462405,14462405,POINT (16.315970240870982 48.29148937656963),Weidling Steinwandgasse,Weidling Steinwandgasse,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Steinwandgasse&start=1,
OEFFHALTESTOGD.14462406,14462406,POINT (16.315997240779655 48.29137587681935),Weidling Steinwandgasse,Weidling Steinwandgasse,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Steinwandgasse&start=1,
OEFFHALTESTOGD.14462407,14462407,POINT (16.28118753995504 48.28933768889707),Weidling StÃ¶llngasse,Weidling StÃ¶llngasse,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20StÃ¶llngasse&start=1,
OEFFHALTESTOGD.14462408,14462408,POINT (16.28221153904761 48.28934968917149),Weidling StÃ¶llngasse,Weidling StÃ¶llngasse,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20StÃ¶llngasse&start=1,
OEFFHALTESTOGD.14462409,14462409,POINT (16.295533640121413 48.289959283969814),Weidling SÃ¤ulenweg,Weidling SÃ¤ulenweg,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20SÃ¤ulenweg&start=1,
OEFFHALTESTOGD.14462410,14462410,POINT (16.29462634032697 48.28950508416538),Weidling SÃ¤ulenweg,Weidling SÃ¤ulenweg,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20SÃ¤ulenweg&start=1,
OEFFHALTESTOGD.14462411,14462411,POINT (16.295892936756797 48.286420783920256),Weidling Wintergasse,Weidling Wintergasse,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Wintergasse&start=1,
OEFFHALTESTOGD.14462412,14462412,POINT (16.296593637122196 48.28618768392056),Weidling Wintergasse,Weidling Wintergasse,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Wintergasse&start=1,
OEFFHALTESTOGD.14462452,14462452,POINT (16.231645216248104 48.00401020628998),Baden Gesundheitskasse,Baden Gesundheitskasse,"301,315",,3,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Gesundheitskasse&start=1,
OEFFHALTESTOGD.14462453,14462453,POINT (16.23176201628564 48.00399820626798),Baden Gesundheitskasse,Baden Gesundheitskasse,"301,315",,3,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Gesundheitskasse&start=1,
OEFFHALTESTOGD.14462454,14462454,POINT (16.251021820097726 48.0084697990868),Baden BraunstraÃŸe,Baden BraunstraÃŸe,308,,3,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20BraunstraÃŸe&start=1,
OEFFHALTESTOGD.14462455,14462455,POINT (16.569501753420933 48.30661448774096),Deutsch-Wagram Eichengasse,Deutsch-Wagram Eichengasse,"520,521",,3,https://anachb.vor.at?P=SQ&input=Deutsch-Wagram%20Eichengasse&start=1,
OEFFHALTESTOGD.14462456,14462456,POINT (16.57769446159143 48.31701008522428),Helmahof Gottlieb-Fichte-Gasse,Helmahof Gottlieb-Fichte-Gasse,"520,521",,3,https://anachb.vor.at?P=SQ&input=Helmahof%20Gottlieb-Fichte-Gasse&start=1,
OEFFHALTESTOGD.14462457,14462457,POINT (16.577757361035598 48.31688468520889),Helmahof Gottlieb-Fichte-Gasse,Helmahof Gottlieb-Fichte-Gasse,"520,521",,3,https://anachb.vor.at?P=SQ&input=Helmahof%20Gottlieb-Fichte-Gasse&start=1,
OEFFHALTESTOGD.14462458,14462458,POINT (16.560267146780717 48.29785429104578),Deutsch-Wagram Gemeindeamt,Deutsch-Wagram Gemeindeamt,"520,521,554",,3,https://anachb.vor.at?P=SQ&input=Deutsch-Wagram%20Gemeindeamt&start=1,
OEFFHALTESTOGD.14462459,14462459,POINT (16.55988084757038 48.29849369081681),Deutsch-Wagram Gemeindeamt,Deutsch-Wagram Gemeindeamt,"520,521,522,554",,3,https://anachb.vor.at?P=SQ&input=Deutsch-Wagram%20Gemeindeamt&start=1,
OEFFHALTESTOGD.14462460,14462460,POINT (16.588824561311924 48.31687268119792),Helmahof Kleistgasse,Helmahof Kleistgasse,521,,3,https://anachb.vor.at?P=SQ&input=Helmahof%20Kleistgasse&start=1,
OEFFHALTESTOGD.14462461,14462461,POINT (16.58877066145312 48.316795080692955),Helmahof Kleistgasse,Helmahof Kleistgasse,521,,3,https://anachb.vor.at?P=SQ&input=Helmahof%20Kleistgasse&start=1,
OEFFHALTESTOGD.14462462,14462462,POINT (16.58448566185768 48.31808538229103),Helmahof HausfeldstraÃŸe,Helmahof HausfeldstraÃŸe,521,,3,https://anachb.vor.at?P=SQ&input=Helmahof%20HausfeldstraÃŸe&start=1,
OEFFHALTESTOGD.14462463,14462463,POINT (16.583865862353605 48.31816898291512),Helmahof HausfeldstraÃŸe,Helmahof HausfeldstraÃŸe,521,,3,https://anachb.vor.at?P=SQ&input=Helmahof%20HausfeldstraÃŸe&start=1,
OEFFHALTESTOGD.14462464,14462464,POINT (16.595786559968726 48.31465637876388),Helmahof OfnerstraÃŸe,Helmahof OfnerstraÃŸe,521,,3,https://anachb.vor.at?P=SQ&input=Helmahof%20OfnerstraÃŸe&start=1,
OEFFHALTESTOGD.14462465,14462465,POINT (16.595750559450654 48.31452487803727),Helmahof OfnerstraÃŸe,Helmahof OfnerstraÃŸe,521,,3,https://anachb.vor.at?P=SQ&input=Helmahof%20OfnerstraÃŸe&start=1,
OEFFHALTESTOGD.14462466,14462466,POINT (16.59248076055295 48.31568387991794),Helmahof QuadenstraÃŸe,Helmahof QuadenstraÃŸe,521,,3,https://anachb.vor.at?P=SQ&input=Helmahof%20QuadenstraÃŸe&start=1,
OEFFHALTESTOGD.14462467,14462467,POINT (16.592327960223766 48.315630079455474),Helmahof QuadenstraÃŸe,Helmahof QuadenstraÃŸe,521,,3,https://anachb.vor.at?P=SQ&input=Helmahof%20QuadenstraÃŸe&start=1,
OEFFHALTESTOGD.14462468,14462468,POINT (16.570786356110005 48.30941078747667),Helmahof Stefan-Fadinger-StraÃŸe,Helmahof Stefan-Fadinger-StraÃŸe,"520,521",,3,https://anachb.vor.at?P=SQ&input=Helmahof%20Stefan-Fadinger-StraÃŸe&start=1,
OEFFHALTESTOGD.14462469,14462469,POINT (16.571109755721185 48.30955418717855),Helmahof Stefan-Fadinger-StraÃŸe,Helmahof Stefan-Fadinger-StraÃŸe,"520,521",,3,https://anachb.vor.at?P=SQ&input=Helmahof%20Stefan-Fadinger-StraÃŸe&start=1,
OEFFHALTESTOGD.14462470,14462470,POINT (16.560240145529754 48.29680249062424),Deutsch-Wagram Theodor-KÃ¶rner-Gasse,Deutsch-Wagram Theodor-KÃ¶rner-Gasse,"520,522,554",,3,https://anachb.vor.at?P=SQ&input=Deutsch-Wagram%20Theodor-KÃ¶rner-Gasse&start=1,
OEFFHALTESTOGD.14462471,14462471,POINT (16.5603749451474 48.296682991214716),Deutsch-Wagram Theodor-KÃ¶rner-Gasse,Deutsch-Wagram Theodor-KÃ¶rner-Gasse,"520,522,554",,3,https://anachb.vor.at?P=SQ&input=Deutsch-Wagram%20Theodor-KÃ¶rner-Gasse&start=1,
OEFFHALTESTOGD.14462472,14462472,POINT (16.597699957784247 48.311597477695614),Helmahof Bahnhof,Helmahof Bahnhof,"521,522,SV901",,3,https://anachb.vor.at?P=SQ&input=Helmahof%20Bahnhof&start=1,
OEFFHALTESTOGD.14462473,14462473,POINT (16.597502256991707 48.31154367825972),Helmahof Bahnhof,Helmahof Bahnhof,521,,3,https://anachb.vor.at?P=SQ&input=Helmahof%20Bahnhof&start=1,
OEFFHALTESTOGD.14462474,14462474,POINT (16.13458227761616 48.082950940289074),Dornbach/Wienerwald Feuerwehr,Dornbach/Wienerwald Feuerwehr,252,,3,https://anachb.vor.at?P=SQ&input=Dornbach/Wienerwald%20Feuerwehr&start=1,
OEFFHALTESTOGD.14462475,14462475,POINT (16.134160076746102 48.082590840645096),Dornbach/Wienerwald Feuerwehr,Dornbach/Wienerwald Feuerwehr,252,,3,https://anachb.vor.at?P=SQ&input=Dornbach/Wienerwald%20Feuerwehr&start=1,
OEFFHALTESTOGD.14462476,14462476,POINT (16.513195148693413 48.04475680795105),Ebergassing Friedhof,Ebergassing Friedhof,"221,222,248",,3,https://anachb.vor.at?P=SQ&input=Ebergassing%20Friedhof&start=1,
OEFFHALTESTOGD.14462477,14462477,POINT (16.513285047680984 48.04468470714361),Ebergassing Friedhof,Ebergassing Friedhof,"221,222,248",,3,https://anachb.vor.at?P=SQ&input=Ebergassing%20Friedhof&start=1,
OEFFHALTESTOGD.14462478,14462478,POINT (16.517147748893475 48.04663050641073),Ebergassing Schulen,Ebergassing Schulen,"227,248",,3,https://anachb.vor.at?P=SQ&input=Ebergassing%20Schulen&start=1,
OEFFHALTESTOGD.14462479,14462479,POINT (16.517246549571805 48.04672660610982),Ebergassing Schulen,Ebergassing Schulen,"227,248",,3,https://anachb.vor.at?P=SQ&input=Ebergassing%20Schulen&start=1,
OEFFHALTESTOGD.14462480,14462480,POINT (16.630003406953453 48.37501326630529),Auersthal Urbanusplatz,Auersthal Urbanusplatz,"520,530,531",,3,https://anachb.vor.at?P=SQ&input=Auersthal%20Urbanusplatz&start=1,
OEFFHALTESTOGD.14462481,14462481,POINT (16.63011120694888 48.374941666737186),Auersthal Urbanusplatz,Auersthal Urbanusplatz,"520,530,531",,3,https://anachb.vor.at?P=SQ&input=Auersthal%20Urbanusplatz&start=1,
OEFFHALTESTOGD.14462482,14462482,POINT (16.493288797349077 48.36160951407924),Eibesbrunn BrÃ¼nner StraÃŸe,Eibesbrunn BrÃ¼nner StraÃŸe,"500,501,502,505",,3,https://anachb.vor.at?P=SQ&input=Eibesbrunn%20BrÃ¼nner%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462483,14462483,POINT (16.21039126509555 48.32277471421758),St. AndrÃ¤-WÃ¶rdern Volksschule,St. AndrÃ¤-WÃ¶rdern Volksschule,"403,404,405,441",,3,https://anachb.vor.at?P=SQ&input=St.%20AndrÃ¤-WÃ¶rdern%20Volksschule&start=1,
OEFFHALTESTOGD.14462484,14462484,POINT (16.21070566623491 48.32301361411717),St. AndrÃ¤-WÃ¶rdern Volksschule,St. AndrÃ¤-WÃ¶rdern Volksschule,"406,411",,3,https://anachb.vor.at?P=SQ&input=St.%20AndrÃ¤-WÃ¶rdern%20Volksschule&start=1,
OEFFHALTESTOGD.14462485,14462485,POINT (16.499549973757627 48.33195461273927),Seyring J.-Scheider-Gasse,Seyring J.-Scheider-Gasse,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Johann-Scheider-Gasse&start=1,
OEFFHALTESTOGD.14462486,14462486,POINT (16.147374413850354 48.257822635656325),Mauerbach Sonnwaldsiedlung,Mauerbach Sonnwaldsiedlung,449,,3,https://anachb.vor.at?P=SQ&input=Mauerbach%20Sonnwaldsiedlung&start=1,
OEFFHALTESTOGD.14462487,14462487,POINT (16.147329513860992 48.257697036480955),Mauerbach Sonnwaldsiedlung,Mauerbach Sonnwaldsiedlung,449,,3,https://anachb.vor.at?P=SQ&input=Mauerbach%20Sonnwaldsiedlung&start=1,
OEFFHALTESTOGD.14462488,14462488,POINT (16.479724023201538 48.14064421944359),Schwechat MÃ¶hringgasse,Schwechat MÃ¶hringgasse,"217,218,266,272,279,71A",,3,https://anachb.vor.at?P=SQ&input=Schwechat%20MÃ¶hringgasse&start=1,
OEFFHALTESTOGD.14462489,14462489,POINT (16.479683713012204 48.14064426979524),Schwechat MÃ¶hringgasse,Schwechat MÃ¶hringgasse,"217,218,266,272,279,71A",,2,https://anachb.vor.at?P=SQ&input=Schwechat%20MÃ¶hringgasse&start=1,
OEFFHALTESTOGD.14462490,14462490,POINT (16.4799037232084 48.140806119339196),Schwechat MÃ¶hringgasse,Schwechat MÃ¶hringgasse,"217,218,266,272,279,71A",,3,https://anachb.vor.at?P=SQ&input=Schwechat%20MÃ¶hringgasse&start=1,
OEFFHALTESTOGD.14462491,14462491,POINT (16.47986341289263 48.140806169754015),Schwechat MÃ¶hringgasse,Schwechat MÃ¶hringgasse,"217,218,266,272,279,71A",,2,https://anachb.vor.at?P=SQ&input=Schwechat%20MÃ¶hringgasse&start=1,
OEFFHALTESTOGD.14462492,14462492,POINT (16.192083471002775 48.07441042028261),Sparbach Ost,Sparbach Ost,264,,3,https://anachb.vor.at?P=SQ&input=Sparbach/HinterbrÃ¼hl%20Ost&start=1,
OEFFHALTESTOGD.14462493,14462493,POINT (16.19168817026201 48.07434442035788),Sparbach Ost,Sparbach Ost,264,,3,https://anachb.vor.at?P=SQ&input=Sparbach/HinterbrÃ¼hl%20Ost&start=1,
OEFFHALTESTOGD.14462494,14462494,POINT (16.2566725102208 48.378032698084766),Spillern BahnstraÃŸe,Spillern BahnstraÃŸe,"830,SV903",,3,https://anachb.vor.at?P=SQ&input=Spillern%20BahnstraÃŸe&start=1,
OEFFHALTESTOGD.14462495,14462495,POINT (16.257049809111166 48.37805649797961),Spillern BahnstraÃŸe,Spillern BahnstraÃŸe,"830,SV903",,3,https://anachb.vor.at?P=SQ&input=Spillern%20BahnstraÃŸe&start=1,
OEFFHALTESTOGD.14462496,14462496,POINT (16.286119306301444 48.374273487593214),Spillern Industriegebiet,Spillern Industriegebiet,830,,3,https://anachb.vor.at?P=SQ&input=Spillern%20Industriegebiet&start=1,
OEFFHALTESTOGD.14462497,14462497,POINT (16.286936807164754 48.374345086731736),Spillern Industriegebiet,Spillern Industriegebiet,830,,3,https://anachb.vor.at?P=SQ&input=Spillern%20Industriegebiet&start=1,
OEFFHALTESTOGD.14462498,14462498,POINT (16.262978709358 48.37707799555884),Spillern LandstraÃŸe,Spillern LandstraÃŸe,830,,3,https://anachb.vor.at?P=SQ&input=Spillern%20LandstraÃŸe&start=1,
OEFFHALTESTOGD.14462499,14462499,POINT (16.26192770950998 48.37729279558226),Spillern LandstraÃŸe,Spillern LandstraÃŸe,830,,3,https://anachb.vor.at?P=SQ&input=Spillern%20LandstraÃŸe&start=1,
OEFFHALTESTOGD.14462500,14462500,POINT (16.31067899544604 48.10577447873913),Brunn/Geb. HubatschstraÃŸe,Brunn/Geb. HubatschstraÃŸe,270,,3,https://anachb.vor.at?P=SQ&input=Brunn%20am%20Gebirge%20HubatschstraÃŸe&start=1,
OEFFHALTESTOGD.14462501,14462501,POINT (16.31081379541579 48.10597237819005),Brunn/Geb. HubatschstraÃŸe,Brunn/Geb. HubatschstraÃŸe,270,,3,https://anachb.vor.at?P=SQ&input=Brunn%20am%20Gebirge%20HubatschstraÃŸe&start=1,
OEFFHALTESTOGD.14462502,14462502,POINT (16.208720474626986 48.333489514481336),St. AndrÃ¤-WÃ¶rdern Bahnhof,St. AndrÃ¤-WÃ¶rdern Bahnhof,"403,405,406,411,413,415,441",,3,https://anachb.vor.at?P=SQ&input=St.%20AndrÃ¤-WÃ¶rdern%20Bahnhof&start=1,
OEFFHALTESTOGD.14462503,14462503,POINT (16.21129856709276 48.324327713488856),St. AndrÃ¤-WÃ¶rdern Mittelschule,St. AndrÃ¤-WÃ¶rdern Mittelschule,"403,405,406,411,415,441",,3,https://anachb.vor.at?P=SQ&input=St.%20AndrÃ¤-WÃ¶rdern%20Mittelschule&start=1,
OEFFHALTESTOGD.14462504,14462504,POINT (16.211199766436415 48.32373041344481),St. AndrÃ¤-WÃ¶rdern Mittelschule,St. AndrÃ¤-WÃ¶rdern Mittelschule,"403,405,406,411,415,441",,3,https://anachb.vor.at?P=SQ&input=St.%20AndrÃ¤-WÃ¶rdern%20Mittelschule&start=1,
OEFFHALTESTOGD.14462505,14462505,POINT (16.196835766105522 48.323061418457684),St. AndrÃ¤-WÃ¶rdern Friedhofsiedlung,St. AndrÃ¤-WÃ¶rdern Friedhofsiedlung,406,,3,https://anachb.vor.at?P=SQ&input=St.%20AndrÃ¤-WÃ¶rdern%20Friedhofsiedlung&start=1,
OEFFHALTESTOGD.14462506,14462506,POINT (16.197680165768087 48.322888218380406),St. AndrÃ¤-WÃ¶rdern Friedhofsiedlung,St. AndrÃ¤-WÃ¶rdern Friedhofsiedlung,406,,3,https://anachb.vor.at?P=SQ&input=St.%20AndrÃ¤-WÃ¶rdern%20Friedhofsiedlung&start=1,
OEFFHALTESTOGD.14462507,14462507,POINT (16.19751846301738 48.31865301897107),St. AndrÃ¤-WÃ¶rdern FÃ¶hrengasse,St. AndrÃ¤-WÃ¶rdern FÃ¶hrengasse,"404,411,441",,3,https://anachb.vor.at?P=SQ&input=St.%20AndrÃ¤-WÃ¶rdern%20FÃ¶hrengasse&start=1,
OEFFHALTESTOGD.14462508,14462508,POINT (16.207992771597752 48.330575115098256),St. AndrÃ¤-WÃ¶rdern Gemeindeamt,St. AndrÃ¤-WÃ¶rdern Gemeindeamt,"403,405,406,411,415,441",,3,https://anachb.vor.at?P=SQ&input=St.%20AndrÃ¤-WÃ¶rdern%20Gemeindeamt&start=1,
OEFFHALTESTOGD.14462509,14462509,POINT (16.21234966017417 48.315899113258894),St. AndrÃ¤-WÃ¶rdern Hagenbachklamm,St. AndrÃ¤-WÃ¶rdern Hagenbachklamm,"404,405,406,415",,3,https://anachb.vor.at?P=SQ&input=St.%20AndrÃ¤-WÃ¶rdern%20Hagenbachklamm&start=1,
OEFFHALTESTOGD.14462510,14462510,POINT (16.217272176537087 48.08135451107338),Weissenbach/MÃ¶dling Abzw. Wassergspreng,Weissenbach/MÃ¶dling Abzw. Wassergspreng,264,,3,https://anachb.vor.at?P=SQ&input=Weissenbach%20bei%20MÃ¶dling%20Abzw.%20Wassergspreng&start=1,
OEFFHALTESTOGD.14462511,14462511,POINT (16.223551375023213 48.08059230910461),Weissenbach/MÃ¶dling Ortsmitte,Weissenbach/MÃ¶dling Ortsmitte,264,,3,https://anachb.vor.at?P=SQ&input=Weissenbach%20bei%20MÃ¶dling%20Ortsmitte&start=1,
OEFFHALTESTOGD.14462512,14462512,POINT (16.22237467605933 48.08050830906729),Weissenbach/MÃ¶dling Ortsmitte,Weissenbach/MÃ¶dling Ortsmitte,264,,3,https://anachb.vor.at?P=SQ&input=Weissenbach%20bei%20MÃ¶dling%20Ortsmitte&start=1,
OEFFHALTESTOGD.14462513,14462513,POINT (16.312574473206663 48.0770992780216),Wiener Neudorf Griesfeld,Wiener Neudorf Griesfeld,"301,303",,3,https://anachb.vor.at?P=SQ&input=Wiener%20Neudorf%20Griesfeld&start=1,
OEFFHALTESTOGD.14462514,14462514,POINT (16.313652472952064 48.077615477430264),Wiener Neudorf Griesfeld,Wiener Neudorf Griesfeld,"219,301,303,B99",,3,https://anachb.vor.at?P=SQ&input=Wiener%20Neudorf%20Griesfeld&start=1,
OEFFHALTESTOGD.14462515,14462515,POINT (16.312098374151454 48.07799957777734),Wiener Neudorf Griesfeld,Wiener Neudorf Griesfeld,"214,219",,3,https://anachb.vor.at?P=SQ&input=Wiener%20Neudorf%20Griesfeld&start=1,
OEFFHALTESTOGD.14462516,14462516,POINT (16.313778181350507 48.08811767714146),Wiener Neudorf Bahnhof,Wiener Neudorf Bahnhof,"303,329",,3,https://anachb.vor.at?P=SQ&input=Wiener%20Neudorf%20Bahnhof&start=1,
OEFFHALTESTOGD.14462517,14462517,POINT (16.313948880633625 48.08737357754868),Wiener Neudorf Bahnhof,Wiener Neudorf Bahnhof,303,,3,https://anachb.vor.at?P=SQ&input=Wiener%20Neudorf%20Bahnhof&start=1,
OEFFHALTESTOGD.14462518,14462518,POINT (16.314847180654738 48.0867494770961),Wiener Neudorf Bahnhof,Wiener Neudorf Bahnhof,"206,214,215,216,217",,3,https://anachb.vor.at?P=SQ&input=Wiener%20Neudorf%20Bahnhof&start=1,
