rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4126;Keplerplatz;U1;ALAUDAGASSE      ;2026-02-07T16:11:46.000+0100;2026-02-07T16:11:46.000+0100;7;2026-02-07T16:05:00.071866
4131;Alaudagasse;U1;OBERLAA          ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:00.071877
4120;Karlsplatz;U1;ALAUDAGASSE   ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:00.071887
4186;Kagraner Platz;U1;ALAUDAGASSE      ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:00.071898
4106;Kaisermühlen-VIC;U1;OBERLAA          ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:00.071910
4132;Neulaa;U1;OBERLAA          ;2026-02-07T16:11:46.000+0100;2026-02-07T16:11:46.000+0100;7;2026-02-07T16:05:00.071921
4190;Leopoldau;U1;OBERLAA          ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:01.494843
4260;Praterstern;U2;KARLSPLATZ    ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.494873
4279;Hausfeldstraße;U2;KARLSPLATZ;2026-02-07T16:15:46.000+0100;2026-02-07T16:15:46.000+0100;11;2026-02-07T16:05:01.494886
4254;Stadlau;U2;KARLSPLATZ       ;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:01.494899
4205;Rathaus;U2;KARLSPLATZ       ;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:01.494912
4257;Stadion;U2;KARLSPLATZ       ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.494925
4280;Lina-Loos-Platz;U2;KARLSPLATZ       ;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:01.494937
4261;Taborstraße;U2;KARLSPLATZ       ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.494950
4251;Aspernstraße;U2;KARLSPLATZ       ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.494962
4258;Krieau;U2;KARLSPLATZ       ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.494974
4201;Schottenring;U2;KARLSPLATZ    ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.494987
4209;Volkstheater;U2;KARLSPLATZ       ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.494999
4256;Donaustadtbrücke;U2;KARLSPLATZ       ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495011
4252;Donauspital;U2;KARLSPLATZ       ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495023
4259;Messe;U2;KARLSPLATZ       ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495035
4203;Schottentor;U2;KARLSPLATZ       ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:01.495047
4211;Museumsquartier;U2;KARLSPLATZ       ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495059
4255;Donaumarina;U2;KARLSPLATZ       ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495071
4253;Hardeggasse;U2;KARLSPLATZ       ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:01.495083
4277;Seestadt;U2;KARLSPLATZ       ;2026-02-07T16:11:46.000+0100;2026-02-07T16:11:46.000+0100;7;2026-02-07T16:05:01.495095
4278;Aspern Nord;U2;KARLSPLATZ       ;2026-02-07T16:13:46.000+0100;2026-02-07T16:13:46.000+0100;9;2026-02-07T16:05:01.495106
4265;Krieau;U2;ASPERNSTRASSE    ;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:01.495117
4262;Taborstraße;U2;SEESTADT         ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495129
4266;Stadion;U2;ASPERNSTRASSE    ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495142
4202;Karlsplatz;U2;SEESTADT      ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495154
4210;Rathaus;U2;ASPERNSTRASSE    ;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:01.495166
4269;Stadlau;U2;SEESTADT         ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495177
4263;Praterstern;U2;SEESTADT      ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495189
4270;Hardeggasse;U2;SEESTADT         ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495200
4268;Donaumarina;U2;ASPERNSTRASSE    ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495211
4212;Schottentor;U2;ASPERNSTRASSE    ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495223
4204;Museumsquartier;U2;SEESTADT         ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495234
4264;Messe;U2;SEESTADT         ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:01.495245
4271;Donauspital;U2;SEESTADT         ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:01.495257
4214;Schottenring;U2;SEESTADT      ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495268
4267;Donaustadtbrücke;U2;SEESTADT         ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495280
4206;Volkstheater;U2;SEESTADT         ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:01.495292
4272;Aspernstraße;U2;SEESTADT         ;2026-02-07T16:10:46.000+0100;2026-02-07T16:10:46.000+0100;6;2026-02-07T16:05:01.495304
4273;Lina-Loos-Platz;U2;SEESTADT         ;2026-02-07T16:12:46.000+0100;2026-02-07T16:12:46.000+0100;8;2026-02-07T16:05:01.495316
4274;Hausfeldstraße;U2;SEESTADT         ;2026-02-07T16:13:46.000+0100;2026-02-07T16:13:46.000+0100;9;2026-02-07T16:05:01.495327
4275;Aspern Nord;U2;SEESTADT;2026-02-07T16:15:46.000+0100;2026-02-07T16:15:46.000+0100;11;2026-02-07T16:05:01.495339
4433;Friedensbrücke;U4;HEILIGENSTADT    ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495351
4403;Ober St. Veit;U4;HEILIGENSTADT;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:01.495364
4427;Schwedenplatz;U4;HEILIGENSTADT;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:01.495374
4415;Margaretengürtel;U4;HEILIGENSTADT    ;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:01.495387
4421;Karlsplatz;U4;HEILIGENSTADT ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495399
4411;Schönbrunn;U4;HEILIGENSTADT    ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495411
4439;Spittelau;U4;HEILIGENSTADT ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495423
4405;Unter St. Veit;U4;HEILIGENSTADT;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495435
4429;Schottenring;U4;HEILIGENSTADT;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495446
4423;Stadtpark;U4;HEILIGENSTADT    ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495458
4413;Meidling, Hauptstraße;U4;HEILIGENSTADT    ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495469
4417;Pilgramgasse;U4;HEILIGENSTADT    ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495480
4401;Hütteldorf;U4;HEILIGENSTADT;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495491
4407;Braunschweiggasse;U4;HEILIGENSTADT;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495503
4431;Roßauer Lände;U4;HEILIGENSTADT;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495514
4419;Kettenbrückengasse;U4;HEILIGENSTADT    ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495526
4425;Landstraße;U4;HEILIGENSTADT ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495537
4437;Längenfeldgasse;U4;HEILIGENSTADT ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:01.495548
4409;Hietzing;U4;HEILIGENSTADT    ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495560
4420;Pilgramgasse;U4;HÜTTELDORF       ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495571
4424;Meidling Hauptstraße;U4;HÜTTELDORF       ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495582
4414;Stadtpark;U4;HÜTTELDORF       ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495594
4408;Schottenring;U4;HÜTTELDORF    ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495606
4432;Unter St. Veit;U4;HÜTTELDORF       ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495617
4426;Schönbrunn;U4;HÜTTELDORF       ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495631
4440;Spittelau;U4;HÜTTELDORF    ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495642
4416;Karlsplatz;U4;HÜTTELDORF    ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495652
4422;Margaretengürtel;U4;HÜTTELDORF       ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495663
4410;Schwedenplatz;U4;HÜTTELDORF    ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495674
4434;Ober St. Veit;U4;HÜTTELDORF       ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495684
4404;Friedensbrücke;U4;HÜTTELDORF       ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495695
4428;Hietzing;U4;HÜTTELDORF       ;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:01.495706
4412;Landstraße;U4;HÜTTELDORF    ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495716
4418;Kettenbrückengasse;U4;HÜTTELDORF       ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495726
4438;Längenfeldgasse;U4;HÜTTELDORF    ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495738
4402;Heiligenstadt;U4;HÜTTELDORF;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:01.495749
4406;Roßauer Lände;U4;HÜTTELDORF       ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495763
4430;Braunschweiggasse;U4;HÜTTELDORF       ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495774
4615;Bahnhof Meidling;U6;FLORIDSDORF;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:01.495784
4616;Niederhofstraße;U6;FLORIDSDORF;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495795
4617;Längenfeldgasse;U6;FLORIDSDORF;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495806
4606;Alser Straße;U6;SIEBENHIRTEN;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495817
4603;Nußdorfer Straße;U6;SIEBENHIRTEN;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495827
4613;Niederhofstraße;U6;SIEBENHIRTEN;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495837
4610;Westbahnhof;U6;SIEBENHIRTEN;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:01.495848
4607;Josefstädter Straße;U6;SIEBENHIRTEN;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495859
4604;Währinger Straße - Volksoper;U6;SIEBENHIRTEN;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495870
4614;Bahnhof Meidling;U6;SIEBENHIRTEN;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495881
4611;Gumpendorfer Straße;U6;SIEBENHIRTEN;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:01.495896
4608;Thaliastraße;U6;SIEBENHIRTEN;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:01.495907
4605;Michelbeuern - AKH;U6;SIEBENHIRTEN;2026-02-07T16:10:46.000+0100;2026-02-07T16:10:46.000+0100;6;2026-02-07T16:05:01.495917
4612;Längenfeldgasse;U6;SIEBENHIRTEN;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:01.495928
4609;Burggasse - Stadthalle;U6;SIEBENHIRTEN;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:01.495939
4909;Volkstheater;U3;SIMMERING     ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.555853
4910;Herrengasse;U3;SIMMERING        ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:02.555864
4900;Erdberg;U3;OTTAKRING        ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:02.555877
