rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4189;Großfeldsiedlung;U1;ALAUDAGASSE;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249216
4130;Altes Landgut;U1;OBERLAA          ;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249224
4128;Reumannplatz;U1;OBERLAA          ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249231
4124;Südtiroler Platz;U1;ALAUDAGASSE;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249239
4186;Kagraner Platz;U1;ALAUDAGASSE;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249247
4131;Alaudagasse;U1;Oberlaa;2026-02-12T17:43:00.000+0100;;3;2026-02-12T17:39:50.249254
4132;Neulaa;U1;OBERLAA          ;2026-02-12T17:45:45.000+0100;2026-02-12T17:45:45.000+0100;6;2026-02-12T17:39:50.249263
4203;Schottentor;U2;KARLSPLATZ       ;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249271
4257;Stadion;U2;KARLSPLATZ       ;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:50.249278
4260;Praterstern;U2;KARLSPLATZ    ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249286
4252;Donauspital;U2;KARLSPLATZ       ;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249294
4256;Donaustadtbrücke;U2;KARLSPLATZ       ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249301
4211;Museumsquartier;U2;KARLSPLATZ       ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249309
4258;Krieau;U2;KARLSPLATZ       ;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249317
4277;Seestadt;U2;KARLSPLATZ       ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249324
4279;Hausfeldstraße;U2;KARLSPLATZ       ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249332
4253;Hardeggasse;U2;KARLSPLATZ       ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249340
4261;Taborstraße;U2;KARLSPLATZ       ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249349
4205;Rathaus;U2;KARLSPLATZ       ;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249356
4255;Donaumarina;U2;KARLSPLATZ       ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249364
4280;Lina-Loos-Platz;U2;KARLSPLATZ       ;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249372
4201;Schottenring;U2;KARLSPLATZ    ;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:50.249380
4254;Stadlau;U2;KARLSPLATZ       ;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249388
4259;Messe;U2;KARLSPLATZ       ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249397
4251;Aspernstraße;U2;KARLSPLATZ       ;2026-02-12T17:44:45.000+0100;2026-02-12T17:44:45.000+0100;5;2026-02-12T17:39:50.249405
4278;Aspern Nord;U2;KARLSPLATZ       ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249413
4209;Volkstheater;U2;KARLSPLATZ       ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249421
4267;Donaustadtbrücke;U2;SEESTADT         ;2026-02-12T17:44:45.000+0100;2026-02-12T17:44:45.000+0100;5;2026-02-12T17:39:50.249429
4271;Donauspital;U2;SEESTADT         ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249437
4212;Schottentor;U2;SEESTADT         ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249445
4263;Praterstern;U2;SEESTADT      ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249453
4266;Stadion;U2;SEESTADT         ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249461
4206;Volkstheater;U2;SEESTADT         ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249469
4202;Karlsplatz;U2;SEESTADT      ;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249477
4272;Aspernstraße;U2;SEESTADT         ;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249485
