rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4120;Karlsplatz;U1;ALAUDAGASSE   ;2026-02-07T15:44:05.000+0100;2026-02-07T15:44:05.000+0100;4;2026-02-07T15:40:22.862257
4186;Kagraner Platz;U1;OBERLAA          ;2026-02-07T15:45:05.000+0100;2026-02-07T15:45:05.000+0100;5;2026-02-07T15:40:22.862269
4106;Kaisermühlen-VIC;U1;ALAUDAGASSE      ;2026-02-07T15:45:05.000+0100;2026-02-07T15:45:05.000+0100;5;2026-02-07T15:40:22.862280
4114;Nestroyplatz;U1;OBERLAA          ;2026-02-07T15:46:05.000+0100;2026-02-07T15:46:05.000+0100;6;2026-02-07T15:40:22.862292
4128;Reumannplatz;U1;ALAUDAGASSE      ;2026-02-07T15:42:05.000+0100;2026-02-07T15:42:05.000+0100;2;2026-02-07T15:40:22.862304
4131;Alaudagasse;U1;OBERLAA;2026-02-07T15:50:05.000+0100;2026-02-07T15:50:05.000+0100;10;2026-02-07T15:40:22.862315
4190;Leopoldau;U1;ALAUDAGASSE      ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440182
4254;Stadlau;U2;KARLSPLATZ       ;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.440238
4205;Rathaus;U2;KARLSPLATZ       ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440253
4257;Stadion;U2;KARLSPLATZ       ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440267
4277;Seestadt;U2;KARLSPLATZ       ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440282
4261;Taborstraße;U2;KARLSPLATZ       ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440295
4251;Aspernstraße;U2;KARLSPLATZ       ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440308
4258;Krieau;U2;KARLSPLATZ       ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440321
